candidate_id,test_time,answers_count,Avg_RT,correct,correct_percent,efficiency,con_RT,stddev_con_RT,cov_con,inc_RT,stddev_inc_RT,cov_inc,con_correct,inc_correct,con_index,inc_index,conflict_index,con_time_minus_incontime,con_count,inc_count,Con_RT_Correct
30060,2019-07-18T21:06:09.842Z,20,849.35,13,65,1306.692308,623.8,92.15421857,0.147730392,1074.9,352.4200303,0.327863085,10,3,623.8,3583,2959.2,-451.1,10,10,623.8
30061,2019-07-26T15:46:24.899Z,20,578.95,19,95,609.4210526,525,163.1134574,0.3106923,632.9,83.2805833,0.13158569,9,10,583.3333333,632.9,49.56666667,-107.9,10,10,575
30062,2019-07-23T21:30:01.332Z,20,736,18,90,817.7777778,775.9,554.849419,0.715104291,696.1,253.5422165,0.364232462,9,9,862.1111111,773.4444444,-88.66666667,79.8,10,10,604.3333333
30063,2019-07-23T21:04:57.549Z,20,521.65,18,90,579.6111111,487.9,56.81637088,0.116450852,555.4,65.18043333,0.11735764,10,8,487.9,694.25,206.35,-67.5,10,10,487.9
30064,2019-08-14T23:44:41.343Z,20,534,18,90,593.3333333,532.5,85.5534271,0.160663713,535.5,60.16874419,0.112359933,10,8,532.5,669.375,136.875,-3,10,10,532.5
30065,2019-08-14T21:58:07.945Z,20,479.2,19,95,504.4210526,436.7,29.38650484,0.067292203,521.7,71.42214098,0.136902705,10,9,436.7,579.6666667,142.9666667,-85,10,10,436.7
30065,2019-08-14T21:56:20.274Z,20,468.6,18,90,520.6666667,427.2,40.92214831,0.095791546,510,75.19751769,0.147446113,10,8,427.2,637.5,210.3,-82.8,10,10,427.2
30066,2019-07-18T21:30:07.809Z,20,525.4,17,85,618.1176471,500.1,51.27366662,0.102526828,550.7,92.43742628,0.167854415,10,7,500.1,786.7142857,286.6142857,-50.6,10,10,500.1
30067,2019-07-18T21:37:44.422Z,20,467.25,17,85,549.7058824,428.7,35.50602453,0.082822544,505.8,57.45684371,0.113595974,10,7,428.7,722.5714286,293.8714286,-77.1,10,10,428.7
30068,2019-07-26T15:20:42.890Z,20,451.85,14,70,645.5,450.6,49.50914618,0.109873826,453.1,52.3374733,0.115509762,10,4,450.6,1132.75,682.15,-2.5,10,10,450.6
30069,2019-07-18T23:56:26.199Z,20,498.05,15,75,664.0666667,482.6,44.69949043,0.092622235,513.5,62.36318358,0.12144729,10,5,482.6,1027,544.4,-30.9,10,10,482.6
30070,2019-08-14T23:39:27.867Z,20,470.75,16,80,588.4375,469.3,145.1160838,0.309218163,472.2,50.73854551,0.107451388,10,6,469.3,787,317.7,-2.9,10,10,469.3
30071,2019-08-14T23:43:17.691Z,20,570.3,20,100,570.3,519.4,55.00343424,0.105898025,621.2,73.07195845,0.117630326,10,10,519.4,621.2,101.8,-101.8,10,10,519.4
30072,2019-07-18T21:13:58.971Z,20,596,20,100,596,527.2,28.95130011,0.054915213,664.8,60.08660416,0.090382979,10,10,527.2,664.8,137.6,-137.6,10,10,527.2
